dataset,accuracy,time_s
ASP-POTASSCO-classification,0.413127,49.989
Amazon_employee_access,0.944614,4.390
BLE_RSSI_dataset_for_Indoor_localization,0.733600,1.054
BNG(breast-w),0.988062,5.878
BNG(cmc),0.585986,11.083
BNG(tic-tac-toe),0.813691,5.894
Bank_Customer_Churn_Dataset,0.876500,1.288
Basketball_c,0.712687,0.555
Cardiovascular-Disease-dataset,0.734000,15.097
Click_prediction_small,0.831915,5.261
Credit_c,0.794541,13.550
Customer_Personality_Analysis,0.888393,0.598
Diabetic_Retinopathy_Debrecen,0.740260,0.795
E-CommereShippingData,0.677273,1.320
Employee,0.852846,0.783
FICO-HELOC-cleaned,0.746835,1.609
Firm-Teacher_Clave-Direction_Classification,0.876852,1.666
Fitness_Club_c,0.798658,0.483
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.668750,0.610
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.678125,0.575
Gender_Gap_in_Spanish_WP,0.606316,0.777
GesturePhaseSegmentationProcessed,0.751392,1.715
HR_Analytics_Job_Change_of_Data_Scientists,0.856670,1.168
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.860544,0.572
INNHotelsGroup,0.903101,5.774
Indian_pines,0.955714,19.952
JapaneseVowels,0.998495,1.342
KDDCup09_upselling,0.813840,1.196
MIC,0.875758,1.009
MagicTelescope,0.883018,2.275
Marketing_Campaign,0.883929,0.609
Mobile_Price_Classification,0.935000,0.501
National_Health_and_Nutrition_Health_Survey,0.837719,0.501
PhishingWebsites,0.976481,1.829
PieChart3,0.879630,0.546
Pima_Indians_Diabetes_Database,0.759740,0.538
PizzaCutter3,0.880383,0.607
Pumpkin_Seeds,0.870000,0.607
QSAR_biodegradation,0.890995,48.761
SDSS17,0.976300,30.134
Satellite,0.992157,1.210
Telecom_Churn_Dataset,0.950525,0.860
UJI_Pen_Characters,0.509158,3.232
Water_Quality_and_Potability,0.641768,0.753
Wilt,0.992746,0.827
abalone,0.642344,0.775
ada,0.845783,1.184
ada_agnostic,0.830230,1.201
ada_prior,0.844693,0.814
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.615000,0.523
allbp,0.978808,0.939
allrep,0.977483,0.961
analcatdata_authorship,0.988166,0.657
artificial-characters,0.861057,1.309
autoUniv-au4-2500,0.546000,1.207
autoUniv-au7-1100,0.404545,0.518
bank,0.907663,8.094
banknote_authentication,0.549091,0.466
baseball,0.947761,0.594
car-evaluation,0.979769,0.539
churn,0.957000,0.978
cmc,0.589831,0.497
company_bankruptcy_prediction,0.970674,2.358
contraceptive_method_choice,0.610169,0.514
credit,0.784924,2.096
default_of_credit_card_clients,0.826500,4.823
delta_ailerons,0.950210,0.933
dis,0.984106,0.828
dna,0.788401,2.106
drug_consumption,0.403183,0.565
dry_bean_dataset,0.928021,1.813
eeg-eye-state,0.989987,1.962
electricity,0.902019,7.132
estimation_of_obesity_levels,0.988180,0.729
eye_movements,0.700183,49.616
eye_movements_bin,0.630092,1.308
first-order-theorem-proving,0.640523,1.619
gas-drift,0.994608,5.589
gina_agnostic,0.904899,10.754
golf_play_dataset_extended,0.940639,0.801
heloc,0.723000,1.538
house_16H,0.891401,1.870
htru,0.979330,2.133
ibm-employee-performance,0.979592,0.619
in_vehicle_coupon_recommendation,0.789364,1.909
internet_firewall,0.931029,12.888
jm1,0.824070,1.666
jungle_chess_2pcs_raw_endgame_complete,0.861780,6.903
kdd_ipums_la_97-small,0.886320,0.929
kr-vs-k,0.834818,13.113
kropt,0.851390,13.174
led24,0.735938,0.696
led7,0.737500,0.629
letter,0.985500,10.084
mammography,0.988377,1.318
maternal_health_risk,0.871921,0.504
mfeat-factors,0.975000,1.669
mfeat-fourier,0.872500,0.880
mfeat-karhunen,0.967500,0.852
mfeat-morphological,0.750000,0.457
mfeat-pixel,0.962500,1.752
mfeat-zernike,0.842500,0.692
mice_protein_expression,1.000000,0.732
microaggregation2,0.639750,2.873
mobile_c36_oversampling,0.990243,8.683
mozilla4,0.940817,1.648
naticusdroid+android+permissions+dataset,0.968638,8.390
national-longitudinal-survey-binary,0.998982,0.882
okcupid_stem,0.737631,3.745
one-hundred-plants-margin,0.868750,4.539
one-hundred-plants-shape,0.784375,4.639
one-hundred-plants-texture,0.912500,4.917
optdigits,0.983986,48.976
ozone-level-8hr,0.958580,0.722
page-blocks,0.978995,0.595
pendigits,0.997271,1.052
phoneme,0.904718,0.522
pol,0.982647,1.073
predict_students_dropout_and_academic_success,0.768362,0.698
qsar,0.890995,0.790
rice_cammeo_and_osmancik,0.929134,0.498
ringnorm,0.979730,0.729
satimage,0.929238,0.820
segment,0.932900,0.361
seismic+bumps,0.934236,0.373
shuttle,0.999483,10.294
spambase,0.942454,0.812
splice,0.924765,0.679
sports_articles_for_objectivity_analysis,0.840000,0.427
statlog,0.740000,0.460
steel_plates_faults,0.835476,0.386
sylvine,0.965854,0.568
taiwanese_bankruptcy_prediction,0.971408,1.532
telco-customer-churn,0.805536,0.686
texture,0.999091,1.656
thyroid,0.993056,0.678
thyroid-ann,0.993377,0.490
thyroid-dis,0.698214,0.430
turiye_student_evaluation,0.507732,0.717
twonorm,0.979054,0.704
vehicle,0.823529,0.338
wall-robot-navigation,0.986264,0.647
water_quality,0.906250,0.709
waveform-5000,0.870000,0.739
waveform_database_generator_version_1,0.863000,0.577
website_phishing,0.915129,0.294
wine-quality-red,0.668750,0.290
wine-quality-white,0.682653,0.601
yeast,0.616162,0.298
Average,0.845783,3.799
