dataset,accuracy,time_s
ASP-POTASSCO-classification,0.459459,46.165
Amazon_employee_access,0.944614,4.546
BLE_RSSI_dataset_for_Indoor_localization,0.731097,1.276
BNG(breast-w),0.988062,5.880
BNG(cmc),0.587161,9.281
BNG(tic-tac-toe),0.814707,13.515
Bank_Customer_Churn_Dataset,0.875000,0.996
Basketball_c,0.694030,0.380
Cardiovascular-Disease-dataset,0.733286,13.364
Click_prediction_small,0.832916,5.177
Credit_c,0.810587,13.177
Customer_Personality_Analysis,0.897321,0.818
Diabetic_Retinopathy_Debrecen,0.727273,1.012
E-CommereShippingData,0.677727,1.659
Employee,0.858217,0.927
FICO-HELOC-cleaned,0.753418,1.818
Firm-Teacher_Clave-Direction_Classification,0.881019,1.752
Fitness_Club_c,0.802013,0.556
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.678125,0.731
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.678125,0.646
Gender_Gap_in_Spanish_WP,0.613684,0.966
GesturePhaseSegmentationProcessed,0.821266,2.125
HR_Analytics_Job_Change_of_Data_Scientists,0.854465,1.419
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.867347,0.912
INNHotelsGroup,0.902274,6.061
Indian_pines,0.959541,37.016
JapaneseVowels,0.999498,1.630
KDDCup09_upselling,0.809942,1.612
MIC,0.903030,1.245
MagicTelescope,0.894848,2.476
Marketing_Campaign,0.881696,0.754
Mobile_Price_Classification,0.970000,0.818
National_Health_and_Nutrition_Health_Survey,0.833333,0.628
PhishingWebsites,0.979195,3.266
PieChart3,0.879630,0.733
Pima_Indians_Diabetes_Database,0.727273,0.469
PizzaCutter3,0.880383,0.766
Pumpkin_Seeds,0.880000,0.721
QSAR_biodegradation,0.881517,43.350
SDSS17,0.978100,25.400
Satellite,0.993137,1.025
Telecom_Churn_Dataset,0.962519,0.481
UJI_Pen_Characters,0.545788,1.437
Water_Quality_and_Potability,0.652439,0.413
Wilt,0.992746,0.457
abalone,0.638756,0.455
ada,0.855422,0.795
ada_agnostic,0.847755,0.850
ada_prior,0.852514,0.531
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.605000,0.467
allbp,0.976159,1.312
allrep,0.984106,0.876
analcatdata_authorship,0.994083,0.661
artificial-characters,0.941781,1.217
autoUniv-au4-2500,0.608000,1.320
autoUniv-au7-1100,0.413636,0.533
bank,0.909654,8.383
banknote_authentication,0.534545,0.515
baseball,0.944030,0.660
car-evaluation,0.985549,0.764
churn,0.964000,1.133
cmc,0.606780,0.588
company_bankruptcy_prediction,0.971408,2.945
contraceptive_method_choice,0.633898,0.658
credit,0.784924,2.246
default_of_credit_card_clients,0.826500,5.320
delta_ailerons,0.952314,1.072
dis,0.990728,1.081
dna,0.948276,2.551
drug_consumption,0.403183,0.700
dry_bean_dataset,0.928755,2.110
eeg-eye-state,0.994326,2.255
electricity,0.924970,6.923
estimation_of_obesity_levels,0.992908,0.715
eye_movements,0.811243,45.147
eye_movements_bin,0.687254,1.652
first-order-theorem-proving,0.653595,1.946
gas-drift,0.997124,6.932
gina_agnostic,0.932277,24.931
golf_play_dataset_extended,0.940639,1.038
heloc,0.730000,4.059
house_16H,0.890660,2.240
htru,0.981285,2.404
ibm-employee-performance,1.000000,0.765
in_vehicle_coupon_recommendation,0.791442,2.211
internet_firewall,0.925154,11.613
jm1,0.822232,1.974
jungle_chess_2pcs_raw_endgame_complete,0.891566,6.523
kdd_ipums_la_97-small,0.889210,1.129
kr-vs-k,0.915716,14.228
kropt,0.908945,14.194
led24,0.729688,0.886
led7,0.742188,0.642
letter,0.990000,11.663
mammography,0.989718,1.468
maternal_health_risk,0.876847,0.487
mfeat-factors,0.980000,2.152
mfeat-fourier,0.912500,1.140
mfeat-karhunen,0.975000,1.020
mfeat-morphological,0.772500,0.673
mfeat-pixel,0.975000,2.251
mfeat-zernike,0.887500,0.929
mice_protein_expression,1.000000,0.854
microaggregation2,0.646000,3.307
mobile_c36_oversampling,0.994204,7.987
mozilla4,0.945320,1.799
naticusdroid+android+permissions+dataset,0.971706,11.737
national-longitudinal-survey-binary,1.000000,1.068
okcupid_stem,0.733696,3.921
one-hundred-plants-margin,0.893750,7.095
one-hundred-plants-shape,0.837500,7.147
one-hundred-plants-texture,0.934375,7.655
optdigits,0.997331,44.217
ozone-level-8hr,0.952663,0.820
page-blocks,0.977169,0.639
pendigits,0.996817,1.071
phoneme,0.906568,0.516
pol,0.989093,1.134
predict_students_dropout_and_academic_success,0.777401,0.704
qsar,0.900474,0.687
rice_cammeo_and_osmancik,0.930446,0.420
ringnorm,0.977703,0.803
satimage,0.935459,0.941
segment,0.952381,0.442
seismic+bumps,0.934236,0.487
shuttle,0.999397,7.821
spambase,0.953312,0.959
splice,0.951411,0.812
sports_articles_for_objectivity_analysis,0.840000,0.499
statlog,0.725000,0.358
steel_plates_faults,0.827763,0.446
sylvine,0.979512,0.630
taiwanese_bankruptcy_prediction,0.972874,1.851
telco-customer-churn,0.808375,0.767
texture,1.000000,10.711
thyroid,0.994444,0.836
thyroid-ann,0.990728,0.586
thyroid-dis,0.698214,0.524
turiye_student_evaluation,0.529210,0.896
twonorm,0.980405,0.963
vehicle,0.864706,0.645
wall-robot-navigation,0.990842,0.803
water_quality,0.910625,0.848
waveform-5000,0.868000,0.912
waveform_database_generator_version_1,0.868000,0.750
website_phishing,0.926199,0.347
wine-quality-red,0.678125,0.342
wine-quality-white,0.687755,0.518
yeast,0.629630,0.333
Average,0.856106,4.130
ASP-POTASSCO-classification,0.274131,18.602
Amazon_employee_access,0.945072,4.568
BLE_RSSI_dataset_for_Indoor_localization,0.732098,1.248
BNG(breast-w),0.988062,5.890
BNG(cmc),0.500271,13.614
BNG(tic-tac-toe),0.813945,5.869
Bank_Customer_Churn_Dataset,0.850500,1.599
Basketball_c,0.697761,0.721
Cardiovascular-Disease-dataset,0.733714,13.865
Click_prediction_small,0.833292,5.250
Credit_c,0.805850,30.682
Customer_Personality_Analysis,0.872768,0.821
Diabetic_Retinopathy_Debrecen,0.614719,1.072
E-CommereShippingData,0.663182,1.607
Employee,0.858217,0.928
FICO-HELOC-cleaned,0.751392,1.889
Firm-Teacher_Clave-Direction_Classification,0.881019,1.744
Fitness_Club_c,0.780000,0.617
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.678125,0.675
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.678125,0.670
Gender_Gap_in_Spanish_WP,0.614737,0.975
GesturePhaseSegmentationProcessed,0.821266,2.047
HR_Analytics_Job_Change_of_Data_Scientists,0.801409,2.961
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.863946,0.924
INNHotelsGroup,0.894142,6.090
Indian_pines,0.959541,36.428
JapaneseVowels,0.999498,1.614
KDDCup09_upselling,0.810916,1.955
MIC,0.903030,1.234
MagicTelescope,0.894585,2.390
Marketing_Campaign,0.879464,0.757
Mobile_Price_Classification,0.972500,0.680
National_Health_and_Nutrition_Health_Survey,0.833333,0.657
PhishingWebsites,0.979195,2.346
PieChart3,0.879630,0.695
Pima_Indians_Diabetes_Database,0.727273,0.516
PizzaCutter3,0.880383,0.699
Pumpkin_Seeds,0.882000,0.669
QSAR_biodegradation,0.881517,15.080
SDSS17,0.978050,29.304
Satellite,0.993137,1.364
Telecom_Churn_Dataset,0.908546,1.076
UJI_Pen_Characters,0.564103,4.497
Water_Quality_and_Potability,0.652439,0.861
Wilt,0.992746,0.923
abalone,0.516746,0.971
ada,0.856627,1.448
ada_agnostic,0.846659,1.367
ada_prior,0.851041,0.982
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.622500,0.653
allbp,0.976159,1.076
allrep,0.978808,1.063
analcatdata_authorship,0.994083,0.767
artificial-characters,0.941292,1.433
autoUniv-au4-2500,0.624000,1.628
autoUniv-au7-1100,0.359091,0.603
bank,0.905341,8.040
banknote_authentication,0.534545,0.518
baseball,0.906716,0.736
car-evaluation,0.985549,0.771
churn,0.924000,1.261
cmc,0.600000,0.617
company_bankruptcy_prediction,0.971408,2.824
contraceptive_method_choice,0.633898,0.602
credit,0.784325,2.216
default_of_credit_card_clients,0.826333,5.192
delta_ailerons,0.952314,1.099
dis,0.992053,1.158
dna,0.948276,2.569
drug_consumption,0.403183,0.633
dry_bean_dataset,0.928755,2.256
eeg-eye-state,0.994326,2.317
electricity,0.914046,7.055
estimation_of_obesity_levels,0.342790,0.774
eye_movements,0.437843,17.722
eye_movements_bin,0.689225,1.720
first-order-theorem-proving,0.651961,1.838
gas-drift,0.997124,6.638
gina_agnostic,0.930836,15.106
golf_play_dataset_extended,0.936073,0.823
heloc,0.729500,1.787
house_16H,0.890660,2.232
htru,0.981006,2.406
ibm-employee-performance,1.000000,0.837
in_vehicle_coupon_recommendation,0.789515,2.192
internet_firewall,0.931106,11.727
jm1,0.824989,1.965
jungle_chess_2pcs_raw_endgame_complete,0.891901,6.491
kdd_ipums_la_97-small,0.888247,1.142
kr-vs-k,0.915182,13.784
kropt,0.908945,13.572
led24,0.729688,0.911
led7,0.742188,0.725
letter,0.990250,11.073
mammography,0.989718,1.555
maternal_health_risk,0.876847,0.516
mfeat-factors,0.980000,1.906
mfeat-fourier,0.912500,1.045
mfeat-karhunen,0.975000,0.993
mfeat-morphological,0.772500,0.596
mfeat-pixel,0.975000,2.281
mfeat-zernike,0.890000,0.860
mice_protein_expression,1.000000,0.794
microaggregation2,0.645500,3.274
mobile_c36_oversampling,0.994301,7.842
mozilla4,0.945320,1.807
naticusdroid+android+permissions+dataset,0.971877,11.869
national-longitudinal-survey-binary,0.953157,1.101
okcupid_stem,0.750750,3.859
one-hundred-plants-margin,0.893750,6.659
one-hundred-plants-shape,0.837500,7.013
one-hundred-plants-texture,0.934375,7.076
optdigits,0.997331,16.720
ozone-level-8hr,0.952663,0.890
page-blocks,0.977169,0.567
pendigits,0.996817,1.033
phoneme,0.906568,0.478
pol,0.989093,1.127
predict_students_dropout_and_academic_success,0.777401,0.683
qsar,0.829384,0.745
rice_cammeo_and_osmancik,0.930446,0.417
ringnorm,0.977703,0.785
satimage,0.936236,0.922
segment,0.952381,0.437
seismic+bumps,0.934236,0.493
shuttle,0.999397,9.957
spambase,0.953312,0.940
splice,0.957680,1.724
sports_articles_for_objectivity_analysis,0.840000,0.449
statlog,0.720000,0.352
steel_plates_faults,0.827763,0.418
sylvine,0.979512,0.604
taiwanese_bankruptcy_prediction,0.972874,2.749
telco-customer-churn,0.804826,0.806
texture,1.000000,2.333
thyroid,0.994444,0.862
thyroid-ann,0.990728,0.562
thyroid-dis,0.687500,0.533
turiye_student_evaluation,0.528351,0.851
twonorm,0.980405,0.821
vehicle,0.864706,0.358
wall-robot-navigation,0.990842,0.729
water_quality,0.910625,0.808
waveform-5000,0.867000,1.036
waveform_database_generator_version_1,0.868000,0.685
website_phishing,0.926199,0.418
wine-quality-red,0.665625,0.380
wine-quality-white,0.686735,0.569
yeast,0.629630,0.375
Average,0.842902,3.434
