dataset,accuracy,time_s
ASP-POTASSCO-classification,0.274131,19.099
Amazon_employee_access,0.945072,4.677
BLE_RSSI_dataset_for_Indoor_localization,0.732098,1.322
BNG(breast-w),0.988062,5.852
BNG(cmc),0.500271,13.857
BNG(tic-tac-toe),0.813945,5.826
Bank_Customer_Churn_Dataset,0.850500,1.556
Basketball_c,0.697761,0.578
Cardiovascular-Disease-dataset,0.733714,13.859
Click_prediction_small,0.833292,5.142
Credit_c,0.805850,30.626
Customer_Personality_Analysis,0.872768,0.773
Diabetic_Retinopathy_Debrecen,0.614719,1.080
E-CommereShippingData,0.663182,1.642
Employee,0.858217,0.868
FICO-HELOC-cleaned,0.751392,1.861
Firm-Teacher_Clave-Direction_Classification,0.881019,1.796
Fitness_Club_c,0.780000,0.610
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.678125,0.671
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.678125,0.646
Gender_Gap_in_Spanish_WP,0.614737,0.941
GesturePhaseSegmentationProcessed,0.821266,2.045
HR_Analytics_Job_Change_of_Data_Scientists,0.801409,2.866
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.863946,0.852
INNHotelsGroup,0.894142,6.037
Indian_pines,0.959541,37.532
JapaneseVowels,0.999498,1.601
KDDCup09_upselling,0.810916,1.851
MIC,0.903030,1.302
MagicTelescope,0.894585,2.515
Marketing_Campaign,0.879464,0.792
Mobile_Price_Classification,0.972500,0.647
National_Health_and_Nutrition_Health_Survey,0.833333,0.652
PhishingWebsites,0.979195,2.395
PieChart3,0.879630,0.714
Pima_Indians_Diabetes_Database,0.727273,0.500
PizzaCutter3,0.880383,0.691
Pumpkin_Seeds,0.882000,0.687
QSAR_biodegradation,0.881517,16.346
SDSS17,0.978050,29.439
Satellite,0.993137,1.364
Telecom_Churn_Dataset,0.908546,1.028
UJI_Pen_Characters,0.564103,4.606
Water_Quality_and_Potability,0.652439,0.853
Wilt,0.992746,0.939
abalone,0.516746,0.910
ada,0.856627,1.507
ada_agnostic,0.846659,1.429
ada_prior,0.851041,0.980
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.622500,0.676
allbp,0.976159,1.134
allrep,0.978808,1.089
analcatdata_authorship,0.994083,0.739
artificial-characters,0.941292,1.355
autoUniv-au4-2500,0.624000,1.639
autoUniv-au7-1100,0.359091,0.594
bank,0.905341,8.073
banknote_authentication,0.534545,0.539
baseball,0.906716,0.666
car-evaluation,0.985549,0.795
churn,0.924000,1.228
cmc,0.600000,0.600
company_bankruptcy_prediction,0.971408,2.856
contraceptive_method_choice,0.633898,0.621
credit,0.784325,2.218
default_of_credit_card_clients,0.826333,5.165
delta_ailerons,0.952314,1.062
dis,0.992053,1.087
dna,0.948276,2.540
drug_consumption,0.403183,0.678
dry_bean_dataset,0.928755,2.196
eeg-eye-state,0.994326,2.262
electricity,0.914046,6.887
estimation_of_obesity_levels,0.342790,0.761
eye_movements,0.437843,18.120
eye_movements_bin,0.689225,1.653
first-order-theorem-proving,0.651961,1.839
gas-drift,0.997124,6.553
gina_agnostic,0.930836,15.342
golf_play_dataset_extended,0.936073,0.860
heloc,0.729500,1.803
house_16H,0.890660,2.141
htru,0.981006,2.266
ibm-employee-performance,1.000000,0.805
in_vehicle_coupon_recommendation,0.789515,2.235
internet_firewall,0.931106,11.742
jm1,0.824989,1.929
jungle_chess_2pcs_raw_endgame_complete,0.891901,6.526
kdd_ipums_la_97-small,0.888247,1.125
kr-vs-k,0.915182,13.912
kropt,0.908945,13.743
led24,0.729688,0.868
led7,0.742188,0.740
letter,0.990250,11.194
mammography,0.989718,1.612
maternal_health_risk,0.876847,0.534
mfeat-factors,0.980000,2.002
mfeat-fourier,0.912500,1.071
mfeat-karhunen,0.975000,1.018
mfeat-morphological,0.772500,0.548
mfeat-pixel,0.975000,2.291
mfeat-zernike,0.890000,0.859
mice_protein_expression,1.000000,0.857
microaggregation2,0.645500,3.327
mobile_c36_oversampling,0.994301,7.866
mozilla4,0.945320,1.862
naticusdroid+android+permissions+dataset,0.971877,12.363
national-longitudinal-survey-binary,0.953157,1.049
okcupid_stem,0.750750,3.909
one-hundred-plants-margin,0.893750,7.064
one-hundred-plants-shape,0.837500,7.128
one-hundred-plants-texture,0.934375,7.521
optdigits,0.997331,17.076
ozone-level-8hr,0.952663,0.904
page-blocks,0.977169,0.560
pendigits,0.996817,1.047
phoneme,0.906568,0.495
pol,0.989093,1.109
predict_students_dropout_and_academic_success,0.777401,0.674
qsar,0.829384,0.730
rice_cammeo_and_osmancik,0.930446,0.439
ringnorm,0.977703,0.815
satimage,0.936236,0.945
segment,0.952381,0.393
seismic+bumps,0.934236,0.533
shuttle,0.999397,8.901
spambase,0.953312,0.897
splice,0.957680,0.781
sports_articles_for_objectivity_analysis,0.840000,1.310
statlog,0.720000,0.350
steel_plates_faults,0.827763,0.419
sylvine,0.979512,0.599
taiwanese_bankruptcy_prediction,0.972874,3.816
telco-customer-churn,0.804826,0.766
texture,1.000000,2.186
thyroid,0.994444,0.770
thyroid-ann,0.990728,0.511
thyroid-dis,0.687500,0.548
turiye_student_evaluation,0.528351,0.809
twonorm,0.980405,0.766
vehicle,0.864706,0.316
wall-robot-navigation,0.990842,0.662
water_quality,0.910625,0.751
waveform-5000,0.867000,0.898
waveform_database_generator_version_1,0.868000,0.603
website_phishing,0.926199,0.331
wine-quality-red,0.665625,0.351
wine-quality-white,0.686735,0.501
yeast,0.629630,0.350
Average,0.842902,3.463
