dataset,accuracy,time_s
ASP-POTASSCO-classification,0.185328,19.097
Amazon_employee_access,0.057827,4.601
BLE_RSSI_dataset_for_Indoor_localization,0.316975,1.288
BNG(breast-w),0.655956,5.881
BNG(cmc),0.426221,14.509
BNG(tic-tac-toe),0.347092,5.979
Bank_Customer_Churn_Dataset,0.796500,1.823
Basketball_c,0.380597,0.659
Cardiovascular-Disease-dataset,0.500286,13.721
Click_prediction_small,0.831539,5.371
Credit_c,0.164268,13.139
Customer_Personality_Analysis,0.850446,0.813
Diabetic_Retinopathy_Debrecen,0.467532,1.143
E-CommereShippingData,0.403182,1.658
Employee,0.656284,1.071
FICO-HELOC-cleaned,0.520506,1.891
Firm-Teacher_Clave-Direction_Classification,0.037963,1.808
Fitness_Club_c,0.694631,0.693
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.500000,0.901
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.500000,0.722
Gender_Gap_in_Spanish_WP,0.336842,1.126
GesturePhaseSegmentationProcessed,0.277468,2.150
HR_Analytics_Job_Change_of_Data_Scientists,0.832966,1.556
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.840136,0.814
INNHotelsGroup,0.327636,6.191
Indian_pines,0.006014,36.594
JapaneseVowels,0.109885,1.705
KDDCup09_upselling,0.500000,5.188
MIC,0.845455,1.528
MagicTelescope,0.648265,7.480
Marketing_Campaign,0.850446,0.801
Mobile_Price_Classification,0.250000,1.779
National_Health_and_Nutrition_Health_Survey,0.160088,0.682
PhishingWebsites,0.443238,2.236
PieChart3,0.875000,0.826
Pima_Indians_Diabetes_Database,0.649351,0.650
PizzaCutter3,0.880383,0.861
Pumpkin_Seeds,0.520000,0.729
QSAR_biodegradation,0.663507,16.748
SDSS17,0.594450,30.409
Satellite,0.014706,1.617
Telecom_Churn_Dataset,0.854573,1.014
UJI_Pen_Characters,0.014652,4.528
Water_Quality_and_Potability,0.609756,1.001
Wilt,0.946114,1.013
abalone,0.336124,0.982
ada,0.751807,1.569
ada_agnostic,0.751369,1.597
ada_prior,0.751955,1.067
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.555000,0.806
allbp,0.003974,1.132
allrep,0.966887,1.191
analcatdata_authorship,0.378698,0.843
artificial-characters,0.116928,1.496
autoUniv-au4-2500,0.452000,1.577
autoUniv-au7-1100,0.140909,0.702
bank,0.883003,8.011
banknote_authentication,0.556364,0.627
baseball,0.906716,0.712
car-evaluation,0.699422,0.738
churn,0.859000,1.179
cmc,0.427119,0.838
company_bankruptcy_prediction,0.967742,2.850
contraceptive_method_choice,0.427119,0.646
credit,0.500150,2.390
default_of_credit_card_clients,0.778833,5.383
delta_ailerons,0.469144,1.306
dis,0.015894,1.109
dna,0.241379,2.592
drug_consumption,0.018568,0.744
dry_bean_dataset,0.097319,2.286
eeg-eye-state,0.551068,2.299
electricity,0.575417,7.060
estimation_of_obesity_levels,0.127660,0.782
eye_movements,0.347806,18.468
eye_movements_bin,0.500000,1.706
first-order-theorem-proving,0.178105,1.912
gas-drift,0.184400,6.785
gina_agnostic,0.508646,16.835
golf_play_dataset_extended,0.789954,0.945
heloc,0.500000,1.961
house_16H,0.500000,2.317
htru,0.908380,2.534
ibm-employee-performance,0.846939,0.888
in_vehicle_coupon_recommendation,0.429996,2.164
internet_firewall,0.574350,11.821
jm1,0.806615,2.024
jungle_chess_2pcs_raw_endgame_complete,0.388666,6.738
kdd_ipums_la_97-small,0.500000,1.349
kr-vs-k,0.099608,13.739
kropt,0.099608,13.718
led24,0.101562,1.053
led7,0.101562,0.890
letter,0.039500,11.204
mammography,0.976755,1.582
maternal_health_risk,0.270936,0.599
mfeat-factors,0.100000,2.153
mfeat-fourier,0.100000,1.278
mfeat-karhunen,0.100000,1.062
mfeat-morphological,0.100000,0.634
mfeat-pixel,0.100000,2.309
mfeat-zernike,0.100000,0.994
mice_protein_expression,0.138889,1.019
microaggregation2,0.558000,3.329
mobile_c36_oversampling,0.392968,8.070
mozilla4,0.328723,1.960
naticusdroid+android+permissions+dataset,0.498892,21.907
national-longitudinal-survey-binary,0.377800,1.133
okcupid_stem,0.720015,4.049
one-hundred-plants-margin,0.009375,7.089
one-hundred-plants-shape,0.009375,7.248
one-hundred-plants-texture,0.009375,7.658
optdigits,0.098754,17.728
ozone-level-8hr,0.936884,1.014
page-blocks,0.897717,0.646
pendigits,0.104138,1.217
phoneme,0.706753,0.576
pol,0.500248,1.236
predict_students_dropout_and_academic_success,0.320904,0.890
qsar,0.663507,0.814
rice_cammeo_and_osmancik,0.427822,0.555
ringnorm,0.495270,0.893
satimage,0.237947,1.058
segment,0.142857,0.507
seismic+bumps,0.934236,0.612
shuttle,0.785948,10.851
spambase,0.605863,1.062
splice,0.239812,1.658
sports_articles_for_objectivity_analysis,0.635000,0.590
statlog,0.300000,0.456
steel_plates_faults,0.082262,2.093
sylvine,0.500488,0.722
taiwanese_bankruptcy_prediction,0.967742,1.912
telco-customer-churn,0.734564,0.890
texture,0.090909,2.448
thyroid,0.022917,0.888
thyroid-ann,0.025166,0.757
thyroid-dis,0.583929,0.595
turiye_student_evaluation,0.278351,0.929
twonorm,0.500676,0.937
vehicle,0.258824,0.526
wall-robot-navigation,0.403846,0.801
water_quality,0.886250,0.873
waveform-5000,0.338000,0.965
waveform_database_generator_version_1,0.332000,0.773
website_phishing,0.516605,0.506
wine-quality-red,0.006250,0.414
wine-quality-white,0.004082,0.641
yeast,0.313131,0.437
Average,0.441799,3.585
