dataset,accuracy,time_s
ASP-POTASSCO-classification,0.413127,19.641
Amazon_employee_access,0.944614,4.318
BLE_RSSI_dataset_for_Indoor_localization,0.733600,3.425
BNG(breast-w),0.988062,6.260
BNG(cmc),0.585986,12.049
BNG(tic-tac-toe),0.813691,5.114
Bank_Customer_Churn_Dataset,0.876500,0.789
Basketball_c,0.712687,0.294
Cardiovascular-Disease-dataset,0.734000,13.718
Click_prediction_small,0.831915,4.724
Credit_c,0.794541,13.846
Customer_Personality_Analysis,0.888393,0.532
Diabetic_Retinopathy_Debrecen,0.740260,0.727
E-CommereShippingData,0.677273,1.211
Employee,0.852846,0.913
FICO-HELOC-cleaned,0.746835,1.643
Firm-Teacher_Clave-Direction_Classification,0.876852,1.337
Fitness_Club_c,0.798658,0.793
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.668750,0.559
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.678125,0.412
Gender_Gap_in_Spanish_WP,0.606316,0.560
GesturePhaseSegmentationProcessed,0.751392,1.520
HR_Analytics_Job_Change_of_Data_Scientists,0.856670,1.095
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.860544,0.442
INNHotelsGroup,0.903101,4.935
Indian_pines,0.955714,9.236
JapaneseVowels,0.998495,1.466
KDDCup09_upselling,0.813840,1.421
MIC,0.875758,1.214
MagicTelescope,0.883018,1.816
Marketing_Campaign,0.883929,0.817
Mobile_Price_Classification,0.935000,0.841
National_Health_and_Nutrition_Health_Survey,0.837719,0.392
PhishingWebsites,0.976481,1.272
PieChart3,0.879630,0.538
Pima_Indians_Diabetes_Database,0.759740,0.676
PizzaCutter3,0.880383,0.433
Pumpkin_Seeds,0.870000,0.410
QSAR_biodegradation,0.890995,19.083
SDSS17,0.976300,36.293
Satellite,0.992157,1.078
Telecom_Churn_Dataset,0.950525,0.685
UJI_Pen_Characters,0.509158,1.300
Water_Quality_and_Potability,0.641768,0.451
Wilt,0.992746,0.447
abalone,0.642344,0.449
ada,0.845783,0.701
ada_agnostic,0.830230,0.742
ada_prior,0.844693,0.513
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.615000,0.331
allbp,0.978808,0.541
allrep,0.977483,0.528
analcatdata_authorship,0.988166,0.414
artificial-characters,0.861057,0.741
autoUniv-au4-2500,0.546000,0.784
autoUniv-au7-1100,0.404545,0.298
bank,0.907663,7.032
banknote_authentication,0.549091,0.746
baseball,0.947761,0.336
car-evaluation,0.979769,0.527
churn,0.957000,0.943
cmc,0.589831,0.297
company_bankruptcy_prediction,0.970674,1.925
contraceptive_method_choice,0.610169,0.294
credit,0.784924,1.426
default_of_credit_card_clients,0.826500,3.972
delta_ailerons,0.950210,0.521
dis,0.984106,0.516
dna,0.788401,2.122
drug_consumption,0.403183,0.421
dry_bean_dataset,0.928021,1.786
eeg-eye-state,0.989987,1.758
electricity,0.902019,6.777
estimation_of_obesity_levels,0.988180,0.813
eye_movements,0.700183,19.904
eye_movements_bin,0.630092,1.408
first-order-theorem-proving,0.640523,1.431
gas-drift,0.994608,9.730
gina_agnostic,0.904899,17.649
golf_play_dataset_extended,0.940639,0.565
heloc,0.723000,0.983
house_16H,0.891401,1.257
htru,0.979330,1.426
ibm-employee-performance,0.979592,0.395
in_vehicle_coupon_recommendation,0.789364,1.405
internet_firewall,0.931029,12.403
jm1,0.824070,1.143
jungle_chess_2pcs_raw_endgame_complete,0.861780,6.452
kdd_ipums_la_97-small,0.886320,1.236
kr-vs-k,0.834818,8.966
kropt,0.851390,11.807
led24,0.735938,0.480
led7,0.737500,0.376
letter,0.985500,9.427
mammography,0.988377,0.866
maternal_health_risk,0.871921,0.284
mfeat-factors,0.975000,1.943
mfeat-fourier,0.872500,0.880
mfeat-karhunen,0.967500,1.035
mfeat-morphological,0.750000,0.335
mfeat-pixel,0.962500,1.884
mfeat-zernike,0.842500,0.882
mice_protein_expression,1.000000,0.484
microaggregation2,0.639750,2.262
mobile_c36_oversampling,0.990243,7.801
mozilla4,0.940817,1.561
naticusdroid+android+permissions+dataset,0.968468,16.893
national-longitudinal-survey-binary,0.998982,0.933
okcupid_stem,0.737631,3.457
one-hundred-plants-margin,0.868750,4.984
one-hundred-plants-shape,0.784375,5.026
one-hundred-plants-texture,0.912500,4.744
optdigits,0.983986,19.765
ozone-level-8hr,0.958580,1.088
page-blocks,0.978995,0.713
pendigits,0.997271,1.343
phoneme,0.904718,0.477
pol,0.982647,1.019
predict_students_dropout_and_academic_success,0.768362,3.383
qsar,0.890995,0.761
rice_cammeo_and_osmancik,0.929134,1.387
ringnorm,0.979730,1.358
satimage,0.929238,0.850
segment,0.932900,0.365
seismic+bumps,0.934236,0.378
shuttle,0.999483,13.196
spambase,0.942454,0.857
splice,0.924765,0.706
sports_articles_for_objectivity_analysis,0.840000,0.428
statlog,0.740000,0.418
steel_plates_faults,0.835476,0.402
sylvine,0.965854,0.570
taiwanese_bankruptcy_prediction,0.971408,1.699
telco-customer-churn,0.805536,0.662
texture,0.999091,1.708
thyroid,0.993056,0.703
thyroid-ann,0.993377,0.532
thyroid-dis,0.698214,0.578
turiye_student_evaluation,0.507732,1.113
twonorm,0.979054,0.845
vehicle,0.823529,0.342
wall-robot-navigation,0.986264,0.633
water_quality,0.906250,0.754
waveform-5000,0.870000,0.741
waveform_database_generator_version_1,0.863000,0.575
website_phishing,0.915129,0.316
wine-quality-red,0.668750,0.322
wine-quality-white,0.682653,0.493
yeast,0.616162,0.309
Average,0.845782,2.990
