dataset,accuracy,time_s
ASP-POTASSCO-classification,0.370656,18.652
Amazon_employee_access,0.942173,12.156
BLE_RSSI_dataset_for_Indoor_localization,0.736605,1.454
BNG(breast-w),0.984760,20.007
BNG(cmc),0.564647,39.218
BNG(tic-tac-toe),0.749555,19.172
Bank_Customer_Churn_Dataset,0.850500,3.032
Basketball_c,0.694030,0.569
Cardiovascular-Disease-dataset,0.727929,65.329
Click_prediction_small,0.831539,7.408
Credit_c,0.668404,62.315
Customer_Personality_Analysis,0.890625,1.172
Diabetic_Retinopathy_Debrecen,0.766234,0.588
E-CommereShippingData,0.650455,3.083
Employee,0.844253,1.039
FICO-HELOC-cleaned,0.740253,3.026
Firm-Teacher_Clave-Direction_Classification,0.665278,2.873
Fitness_Club_c,0.771812,0.450
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.553125,0.668
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.543750,0.616
Gender_Gap_in_Spanish_WP,0.589474,1.169
GesturePhaseSegmentationProcessed,0.533165,3.714
HR_Analytics_Job_Change_of_Data_Scientists,0.845645,2.465
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.870748,1.036
INNHotelsGroup,0.839283,18.111
Indian_pines,0.851832,31.662
JapaneseVowels,0.942298,3.248
KDDCup09_upselling,0.738791,2.659
MIC,0.890909,1.830
MagicTelescope,0.870137,6.121
Marketing_Campaign,0.875000,1.437
Mobile_Price_Classification,0.405000,1.085
National_Health_and_Nutrition_Health_Survey,0.835526,0.774
PhishingWebsites,0.954319,4.254
PieChart3,0.875000,0.832
Pima_Indians_Diabetes_Database,0.779221,0.667
PizzaCutter3,0.880383,0.960
Pumpkin_Seeds,0.874000,0.674
QSAR_biodegradation,0.867299,16.073
SDSS17,0.926350,122.487
Satellite,0.992157,2.143
Telecom_Churn_Dataset,0.886057,1.008
UJI_Pen_Characters,0.399267,4.462
Water_Quality_and_Potability,0.609756,0.816
Wilt,0.992746,1.177
abalone,0.633971,0.963
ada,0.838554,1.731
ada_agnostic,0.832421,1.947
ada_prior,0.835754,1.145
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.590000,0.532
allbp,0.973510,1.234
allrep,0.970861,1.234
analcatdata_authorship,0.988166,0.733
artificial-characters,0.647260,2.803
autoUniv-au4-2500,0.466000,1.904
autoUniv-au7-1100,0.368182,0.606
bank,0.889860,34.539
banknote_authentication,0.556364,0.489
baseball,0.951493,0.908
car-evaluation,0.794798,0.639
churn,0.894000,1.405
cmc,0.562712,0.501
company_bankruptcy_prediction,0.972141,4.358
contraceptive_method_choice,0.566102,1.114
credit,0.771463,5.092
default_of_credit_card_clients,0.820167,15.772
delta_ailerons,0.944600,1.478
dis,0.984106,1.269
dna,0.912226,4.840
drug_consumption,0.403183,0.705
dry_bean_dataset,0.922512,4.689
eeg-eye-state,0.930240,4.797
electricity,0.782412,23.764
estimation_of_obesity_levels,0.867612,1.345
eye_movements,0.536106,19.239
eye_movements_bin,0.586728,2.837
first-order-theorem-proving,0.540850,3.113
gas-drift,0.989216,27.490
gina_agnostic,0.772334,49.745
golf_play_dataset_extended,0.908676,0.469
heloc,0.717000,3.088
house_16H,0.879540,3.821
htru,0.977933,5.437
ibm-employee-performance,0.942177,0.781
in_vehicle_coupon_recommendation,0.631907,3.799
internet_firewall,0.801862,49.047
jm1,0.813964,6.665
jungle_chess_2pcs_raw_endgame_complete,0.667336,26.469
kdd_ipums_la_97-small,0.844894,1.812
kr-vs-k,0.428724,41.850
kropt,0.423378,38.849
led24,0.710938,1.017
led7,0.729688,0.731
letter,0.904000,44.419
mammography,0.988824,2.235
maternal_health_risk,0.773399,0.826
mfeat-factors,0.947500,3.950
mfeat-fourier,0.797500,1.937
mfeat-karhunen,0.852500,1.810
mfeat-morphological,0.742500,0.955
mfeat-pixel,0.932500,4.052
mfeat-zernike,0.722500,1.604
mice_protein_expression,0.986111,1.503
microaggregation2,0.602500,7.860
mobile_c36_oversampling,0.938852,23.179
mozilla4,0.900611,2.313
naticusdroid+android+permissions+dataset,0.945799,49.624
national-longitudinal-survey-binary,0.974542,1.931
okcupid_stem,0.725637,10.896
one-hundred-plants-margin,0.756250,21.091
one-hundred-plants-shape,0.631250,20.907
one-hundred-plants-texture,0.818750,21.539
optdigits,0.968861,18.544
ozone-level-8hr,0.944773,2.134
page-blocks,0.973516,1.470
pendigits,0.986812,3.252
phoneme,0.872340,1.179
pol,0.957362,3.211
predict_students_dropout_and_academic_success,0.759322,1.552
qsar,0.876777,0.635
rice_cammeo_and_osmancik,0.923885,0.807
ringnorm,0.977703,2.106
satimage,0.916019,2.302
segment,0.924242,0.725
seismic+bumps,0.930368,0.764
shuttle,0.997241,41.525
spambase,0.928339,5.052
splice,0.852665,1.652
sports_articles_for_objectivity_analysis,0.820000,0.799
statlog,0.715000,0.675
steel_plates_faults,0.771208,0.819
sylvine,0.928780,1.818
taiwanese_bankruptcy_prediction,0.970674,4.489
telco-customer-churn,0.793471,1.924
texture,0.989091,6.837
thyroid,0.981250,2.015
thyroid-ann,0.976159,1.175
thyroid-dis,0.698214,0.978
turiye_student_evaluation,0.497423,2.352
twonorm,0.979730,2.420
vehicle,0.788235,0.532
wall-robot-navigation,0.949634,1.638
water_quality,0.904375,2.131
waveform-5000,0.763000,2.297
waveform_database_generator_version_1,0.765000,1.792
website_phishing,0.892989,0.490
wine-quality-red,0.600000,0.490
wine-quality-white,0.557143,1.246
yeast,0.602694,0.497
Average,0.798125,8.386
