dataset,accuracy,time_s
ASP-POTASSCO-classification,0.440154,21.653
Amazon_employee_access,0.945224,5.703
BLE_RSSI_dataset_for_Indoor_localization,0.733100,0.802
BNG(breast-w),0.988062,10.407
BNG(cmc),0.587523,28.133
BNG(tic-tac-toe),0.814072,10.285
Bank_Customer_Churn_Dataset,0.876500,5.975
Basketball_c,0.720149,0.401
CDC_Diabetes_Health_Indicators,0.867234,898.767
California-Housing-Classification,0.909884,4.291
Cardiovascular-Disease-dataset,0.733429,40.923
Click_prediction_small,0.833917,13.912
Credit_c,0.793714,243.491
Customer_Personality_Analysis,0.890625,44.856
Data_Science_for_Good_Kiva_Crowdfunding,0.961940,6848.698
Diabetic_Retinopathy_Debrecen,0.744589,0.723
E-CommereShippingData,0.678182,2.602
Employee,0.853921,0.995
FICO-HELOC-cleaned,0.745316,4.780
FOREX_audcad-day-High,0.746594,0.599
FOREX_audcad-hour-High,0.711694,319.317
FOREX_audchf-day-High,0.743869,26.951
FOREX_audjpy-day-High,0.760218,44.320
FOREX_audjpy-hour-High,0.709755,32.319
FOREX_audsgd-hour-High,0.688306,14.668
FOREX_audusd-hour-High,0.684427,13.971
FOREX_cadjpy-day-High,0.716621,0.504
FOREX_cadjpy-hour-High,0.697205,13.978
Firm-Teacher_Clave-Direction_Classification,0.876852,3.131
Fitness_Club_c,0.798658,4.174
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.668750,0.741
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.681250,0.659
Gender_Gap_in_Spanish_WP,0.607368,1.250
GesturePhaseSegmentationProcessed,0.765570,3.789
HR_Analytics_Job_Change_of_Data_Scientists,0.856670,1.992
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.853741,0.730
INNHotelsGroup,0.902136,29.950
Indian_pines,0.958447,45.401
JapaneseVowels,0.998495,9.676
KDDCup09_upselling,0.792398,13.979
MIC,0.869697,5.374
MagicTelescope,0.882492,5.696
Marketing_Campaign,0.883929,0.883
Mobile_Price_Classification,0.950000,0.818
National_Health_and_Nutrition_Health_Survey,0.837719,0.446
PhishingWebsites,0.973315,6.302
PieChart3,0.870370,19.666
Pima_Indians_Diabetes_Database,0.746753,0.338
PizzaCutter3,0.880383,0.611
Pumpkin_Seeds,0.872000,0.545
QSAR_biodegradation,0.890995,0.616
Rain_in_Australia,0.860573,217.235
SDSS17,0.976200,201.602
Satellite,0.992157,22.432
Telecom_Churn_Dataset,0.955022,1.802
UJI_Pen_Characters,0.556777,75.491
Water_Quality_and_Potability,0.649390,0.814
Wilt,0.991710,0.794
abalone,0.645933,1.339
ada,0.850602,24.516
ada_agnostic,0.832421,3.285
ada_prior,0.843575,1.455
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.607500,0.465
allbp,0.980132,1.461
allrep,0.985430,1.473
analcatdata_authorship,0.988166,0.839
artificial-characters,0.863014,2.669
autoUniv-au4-2500,0.516000,2.981
autoUniv-au7-1100,0.413636,0.784
bank,0.910207,43.209
banknote_authentication,0.549091,0.315
baseball,0.951493,0.529
car-evaluation,0.973988,0.648
churn,0.950000,1.455
cmc,0.586441,0.441
company_bankruptcy_prediction,0.969941,5.130
compass,0.827275,5.202
contraceptive_method_choice,0.633898,0.452
credit,0.784625,2.970
customer_satisfaction_in_airline,0.962273,228.599
dabetes_130-us_hospitals,0.634745,199.291
default_of_credit_card_clients,0.827000,63.758
delta_ailerons,0.951613,13.467
dis,0.984106,20.485
dna,0.858934,8.239
drug_consumption,0.403183,1.116
dry_bean_dataset,0.926184,27.297
eeg-eye-state,0.990320,25.497
electricity,0.904778,15.498
estimation_of_obesity_levels,0.988180,10.007
eye_movements,0.728519,18.108
eye_movements_bin,0.626150,19.739
first-order-theorem-proving,0.638072,21.675
gas-drift,0.996405,14.045
gina_agnostic,0.922190,28.295
golf_play_dataset_extended,0.936073,0.378
heloc,0.722500,3.171
hill-valley,0.851852,1.141
house_16H,0.890289,3.910
htru,0.980447,2.519
ibm-employee-performance,1.000000,0.691
in_vehicle_coupon_recommendation,0.788533,8.457
internet_firewall,0.814221,43.535
internet_usage,0.495251,46.684
jm1,0.820395,9.565
jungle_chess_2pcs_raw_endgame_complete,0.861000,17.761
kc1,0.883886,1.418
kdd_ipums_la_97-small,0.888247,2.243
kr-vs-k,0.853885,95.568
kropt,0.852459,41.326
led24,0.734375,1.075
led7,0.737500,0.867
letter,0.987250,26.575
madeline,0.738854,7.633
mammography,0.989271,1.393
maternal_health_risk,0.871921,19.050
mfeat-factors,0.972500,3.343
mfeat-fourier,0.887500,1.458
mfeat-karhunen,0.967500,1.253
mfeat-morphological,0.757500,0.517
