dataset,accuracy,time_s
ASP-POTASSCO-classification,0.432432,105.461
Amazon_employee_access,0.943699,79.762
BLE_RSSI_dataset_for_Indoor_localization,0.735103,15.107
BNG(breast-w),0.988570,18.150
BNG(cmc),0.585353,161.425
BNG(tic-tac-toe),0.814580,38.451
Bank_Customer_Churn_Dataset,0.876500,2.814
Basketball_c,0.708955,0.735
CDC_Diabetes_Health_Indicators,0.867412,1076.780
California-Housing-Classification,0.913517,4.363
Cardiovascular-Disease-dataset,0.733500,326.657
Click_prediction_small,0.831539,91.901
Credit_c,0.792473,735.908
Customer_Personality_Analysis,0.890625,1.271
Data_Science_for_Good_Kiva_Crowdfunding,0.960674,7631.480
Diabetic_Retinopathy_Debrecen,0.744589,0.516
E-CommereShippingData,0.677727,1.799
Employee,0.848550,0.729
FICO-HELOC-cleaned,0.746835,3.268
FOREX_audcad-day-High,0.746594,0.431
FOREX_audcad-hour-High,0.710211,14.183
FOREX_audchf-day-High,0.752044,0.435
FOREX_audjpy-day-High,0.768392,0.431
FOREX_audjpy-hour-High,0.709755,46.010
FOREX_audsgd-hour-High,0.683856,23.704
FOREX_audusd-hour-High,0.681232,27.900
FOREX_cadjpy-day-High,0.713896,0.991
FOREX_cadjpy-hour-High,0.698003,20.684
Firm-Teacher_Clave-Direction_Classification,0.877315,6.828
Fitness_Club_c,0.791946,0.506
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.668750,0.730
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.681250,0.746
Gender_Gap_in_Spanish_WP,0.612632,2.098
GesturePhaseSegmentationProcessed,0.760506,5.777
HR_Analytics_Job_Change_of_Data_Scientists,0.853914,2.073
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.853741,0.808
INNHotelsGroup,0.902412,17.794
Indian_pines,0.959541,21.848
JapaneseVowels,0.998495,2.787
KDDCup09_upselling,0.806043,2.561
MIC,0.866667,1.854
MagicTelescope,0.883281,5.044
Marketing_Campaign,0.881696,0.849
Mobile_Price_Classification,0.937500,0.722
National_Health_and_Nutrition_Health_Survey,0.842105,0.396
PhishingWebsites,0.974220,4.190
PieChart3,0.870370,26.776
Pima_Indians_Diabetes_Database,0.772727,0.577
PizzaCutter3,0.880383,1.195
Pumpkin_Seeds,0.874000,1.056
QSAR_biodegradation,0.895735,7.316
Rain_in_Australia,0.860331,348.064
SDSS17,0.976450,105.430
Satellite,0.992157,3.448
Telecom_Churn_Dataset,0.955022,1.433
UJI_Pen_Characters,0.560440,5.535
Water_Quality_and_Potability,0.649390,0.890
Wilt,0.992746,0.864
abalone,0.643541,1.138
ada,0.842169,2.917
ada_agnostic,0.825849,2.165
ada_prior,0.841341,1.079
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.610000,0.469
allbp,0.980132,1.335
allrep,0.984106,1.338
analcatdata_authorship,0.988166,0.778
artificial-characters,0.861546,4.078
autoUniv-au4-2500,0.504000,2.210
autoUniv-au7-1100,0.400000,0.457
bank,0.906889,108.413
banknote_authentication,0.549091,0.401
baseball,0.947761,1.119
car-evaluation,0.973988,1.307
churn,0.951000,3.846
cmc,0.586441,14.192
company_bankruptcy_prediction,0.969941,36.596
compass,0.833884,47.792
contraceptive_method_choice,0.623729,0.452
credit,0.782232,4.601
customer_satisfaction_in_airline,0.962042,290.569
dabetes_130-us_hospitals,0.632607,131.457
default_of_credit_card_clients,0.827167,14.079
delta_ailerons,0.950912,0.637
dis,0.984106,1.339
dna,0.858934,4.672
drug_consumption,0.403183,0.585
dry_bean_dataset,0.927286,4.059
eeg-eye-state,0.990988,3.934
electricity,0.904005,11.676
estimation_of_obesity_levels,0.988180,0.691
eye_movements,0.708410,3.866
eye_movements_bin,0.616951,2.292
first-order-theorem-proving,0.638889,38.054
gas-drift,0.996405,30.534
gina_agnostic,0.922190,47.526
golf_play_dataset_extended,0.936073,2.151
heloc,0.723500,9.093
hill-valley,0.880658,1.863
house_16H,0.891030,4.727
htru,0.979330,2.983
ibm-employee-performance,1.000000,0.835
in_vehicle_coupon_recommendation,0.790195,4.556
internet_firewall,0.931029,47.181
internet_usage,0.488467,15.438
jm1,0.826367,3.817
jungle_chess_2pcs_raw_endgame_complete,0.861223,13.606
kc1,0.879147,0.785
kdd_ipums_la_97-small,0.887283,2.169
kr-vs-k,0.854775,41.786
kropt,0.855845,41.138
led24,0.734375,1.106
led7,0.737500,0.733
letter,0.985750,19.515
madeline,0.742038,6.858
