dataset,accuracy,time_s
ASP-POTASSCO-classification,0.436293,21.195
Amazon_employee_access,0.945072,5.719
BLE_RSSI_dataset_for_Indoor_localization,0.739109,0.938
BNG(breast-w),0.987173,10.309
BNG(cmc),0.579566,28.141
BNG(tic-tac-toe),0.812675,10.341
Bank_Customer_Churn_Dataset,0.870500,1.625
Basketball_c,0.712687,0.420
CDC_Diabetes_Health_Indicators,0.867215,868.585
California-Housing-Classification,0.897529,17.245
Cardiovascular-Disease-dataset,0.732786,42.338
Click_prediction_small,0.831539,55.328
Credit_c,0.793962,267.247
Customer_Personality_Analysis,0.892857,27.972
Diabetic_Retinopathy_Debrecen,0.727273,1.594
E-CommereShippingData,0.670455,1.830
Employee,0.851772,0.903
FICO-HELOC-cleaned,0.737722,4.436
FOREX_audcad-day-High,0.730245,0.703
FOREX_audcad-hour-High,0.709869,16.932
FOREX_audchf-day-High,0.754768,0.679
FOREX_audjpy-day-High,0.776567,0.652
FOREX_audjpy-hour-High,0.695722,32.520
FOREX_audsgd-hour-High,0.682487,14.017
FOREX_audusd-hour-High,0.673246,14.020
FOREX_cadjpy-day-High,0.732970,0.472
FOREX_cadjpy-hour-High,0.683742,14.001
Firm-Teacher_Clave-Direction_Classification,0.861111,2.966
Fitness_Club_c,0.791946,0.320
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.665625,0.636
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.681250,0.634
Gender_Gap_in_Spanish_WP,0.603158,1.619
GesturePhaseSegmentationProcessed,0.761013,3.807
HR_Analytics_Job_Change_of_Data_Scientists,0.855017,1.962
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.857143,0.777
INNHotelsGroup,0.897588,17.468
Indian_pines,0.952433,17.094
JapaneseVowels,0.997993,2.749
KDDCup09_upselling,0.804094,2.486
MIC,0.857576,1.874
MagicTelescope,0.882755,3.221
Marketing_Campaign,0.881696,0.932
Mobile_Price_Classification,0.950000,0.751
National_Health_and_Nutrition_Health_Survey,0.833333,0.403
PhishingWebsites,0.975124,4.012
PieChart3,0.870370,19.244
Pima_Indians_Diabetes_Database,0.753247,0.349
PizzaCutter3,0.880383,0.692
Pumpkin_Seeds,0.878000,0.653
QSAR_biodegradation,0.890995,0.687
Rain_in_Australia,0.861136,161.173
SDSS17,0.973900,161.578
Satellite,0.992157,23.867
Telecom_Churn_Dataset,0.953523,16.176
UJI_Pen_Characters,0.527473,81.599
Water_Quality_and_Potability,0.653963,0.958
Wilt,0.990674,0.898
abalone,0.642344,10.597
ada,0.844578,15.630
ada_agnostic,0.826944,26.089
ada_prior,0.835754,2.254
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.617500,4.342
allbp,0.976159,20.119
allrep,0.978808,4.639
analcatdata_authorship,0.988166,11.812
artificial-characters,0.838063,12.373
autoUniv-au4-2500,0.492000,3.363
autoUniv-au7-1100,0.363636,0.484
bank,0.907885,43.331
banknote_authentication,0.541818,0.331
baseball,0.947761,0.577
car-evaluation,0.976879,0.693
churn,0.956000,1.773
cmc,0.593220,0.453
company_bankruptcy_prediction,0.972141,5.260
compass,0.810754,5.273
contraceptive_method_choice,0.620339,0.452
credit,0.785223,2.967
customer_satisfaction_in_airline,0.962234,203.972
dabetes_130-us_hospitals,0.634185,128.955
default_of_credit_card_clients,0.825167,20.874
delta_ailerons,0.950912,4.272
dis,0.985430,37.486
dna,0.863636,37.544
drug_consumption,0.403183,10.189
dry_bean_dataset,0.926552,6.738
eeg-eye-state,0.992323,43.625
electricity,0.892640,14.363
estimation_of_obesity_levels,0.976359,7.604
eye_movements,0.738574,36.227
eye_movements_bin,0.655716,4.228
first-order-theorem-proving,0.633170,22.190
gas-drift,0.995687,14.438
gina_agnostic,0.890490,38.613
golf_play_dataset_extended,0.931507,0.419
heloc,0.724000,3.274
hill-valley,0.925926,1.294
house_16H,0.885841,3.949
htru,0.979888,2.553
ibm-employee-performance,1.000000,0.746
in_vehicle_coupon_recommendation,0.772331,3.685
internet_firewall,0.931029,38.872
internet_usage,0.497965,10.908
jm1,0.826826,3.360
jungle_chess_2pcs_raw_endgame_complete,0.855756,12.405
kc1,0.879147,0.816
kdd_ipums_la_97-small,0.885356,1.527
kr-vs-k,0.841233,31.423
kropt,0.842837,85.203
led24,0.737500,3.011
led7,0.739062,1.450
letter,0.986750,72.734
madeline,0.641720,22.709
mammography,0.986589,4.631
maternal_health_risk,0.876847,19.712
mfeat-factors,0.975000,4.267
mfeat-fourier,0.882500,1.751
mfeat-karhunen,0.967500,1.530
mfeat-morphological,0.762500,0.648
mfeat-pixel,0.970000,4.447
mfeat-zernike,0.815000,1.228
mice_protein_expression,1.000000,1.121
