dataset,accuracy,time_s
ASP-POTASSCO-classification,0.432432,79.019
Amazon_employee_access,0.944614,7.914
BLE_RSSI_dataset_for_Indoor_localization,0.739109,1.294
BNG(breast-w),0.987554,13.574
BNG(cmc),0.585624,188.505
BNG(tic-tac-toe),0.814707,13.518
Bank_Customer_Churn_Dataset,0.876500,15.366
Basketball_c,0.723881,25.212
CDC_Diabetes_Health_Indicators,0.867372,1032.631
California-Housing-Classification,0.900194,4.322
Cardiovascular-Disease-dataset,0.734143,326.338
Click_prediction_small,0.833542,109.310
Credit_c,0.797684,715.158
Customer_Personality_Analysis,0.890625,1.273
Data_Science_for_Good_Kiva_Crowdfunding,0.955191,5495.956
Diabetic_Retinopathy_Debrecen,0.748918,0.513
E-CommereShippingData,0.677727,1.781
Employee,0.854995,0.750
FICO-HELOC-cleaned,0.743797,3.220
FOREX_audcad-day-High,0.732970,0.428
FOREX_audcad-hour-High,0.710211,14.050
FOREX_audchf-day-High,0.754768,0.431
FOREX_audjpy-day-High,0.771117,0.429
FOREX_audjpy-hour-High,0.700513,34.235
FOREX_audsgd-hour-High,0.680548,14.629
FOREX_audusd-hour-High,0.678152,26.510
FOREX_cadjpy-day-High,0.711172,0.489
FOREX_cadjpy-hour-High,0.686823,14.846
Firm-Teacher_Clave-Direction_Classification,0.877315,3.034
Fitness_Club_c,0.791946,0.324
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.668750,0.604
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.681250,0.619
Gender_Gap_in_Spanish_WP,0.612632,1.192
GesturePhaseSegmentationProcessed,0.761013,3.789
HR_Analytics_Job_Change_of_Data_Scientists,0.854465,2.456
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.857143,0.772
INNHotelsGroup,0.901034,17.636
Indian_pines,0.951886,19.447
JapaneseVowels,0.998495,2.751
KDDCup09_upselling,0.792398,2.449
MIC,0.863636,1.693
MagicTelescope,0.882755,3.235
Marketing_Campaign,0.886161,0.819
Mobile_Price_Classification,0.955000,0.712
National_Health_and_Nutrition_Health_Survey,0.835526,0.477
PhishingWebsites,0.975124,4.041
