dataset,accuracy,time_s
ASP-POTASSCO-classification,0.455598,22.406
Amazon_employee_access,0.944614,9.573
BLE_RSSI_dataset_for_Indoor_localization,0.730596,1.178
BNG(breast-w),0.987935,15.292
BNG(cmc),0.585895,26.617
BNG(tic-tac-toe),0.814834,15.302
Bank_Customer_Churn_Dataset,0.875000,2.341
Basketball_c,0.701493,0.523
CDC_Diabetes_Health_Indicators,0.867431,498.473
California-Housing-Classification,0.921754,5.614
Cardiovascular-Disease-dataset,0.733714,42.271
Click_prediction_small,0.832916,5.511
Credit_c,0.811663,37.755
Customer_Personality_Analysis,0.892857,0.877
Data_Science_for_Good_Kiva_Crowdfunding,0.967714,3327.117
Diabetic_Retinopathy_Debrecen,0.731602,0.887
E-CommereShippingData,0.676818,2.596
Employee,0.859291,1.013
FICO-HELOC-cleaned,0.752405,3.175
FOREX_audcad-day-High,0.746594,0.586
FOREX_audcad-hour-High,0.716714,18.512
FOREX_audchf-day-High,0.752044,0.697
FOREX_audjpy-day-High,0.784741,0.575
FOREX_audjpy-hour-High,0.721848,36.268
FOREX_audsgd-hour-High,0.710097,18.470
FOREX_audusd-hour-High,0.707701,18.414
FOREX_cadjpy-day-High,0.730245,0.645
FOREX_cadjpy-hour-High,0.717056,18.350
Firm-Teacher_Clave-Direction_Classification,0.880556,2.998
Fitness_Club_c,0.802013,0.457
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.675000,0.664
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.678125,0.667
Gender_Gap_in_Spanish_WP,0.613684,1.211
GesturePhaseSegmentationProcessed,0.821772,3.824
HR_Analytics_Job_Change_of_Data_Scientists,0.852811,2.260
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.870748,0.879
INNHotelsGroup,0.905169,15.246
Indian_pines,0.969382,15.889
JapaneseVowels,0.999498,2.614
KDDCup09_upselling,0.809942,2.579
MIC,0.900000,1.722
MagicTelescope,0.894585,5.035
Marketing_Campaign,0.879464,0.887
Mobile_Price_Classification,0.970000,0.861
National_Health_and_Nutrition_Health_Survey,0.833333,0.576
PhishingWebsites,0.979195,4.131
PieChart3,0.879630,18.768
Pima_Indians_Diabetes_Database,0.727273,0.608
PizzaCutter3,0.880383,0.818
Pumpkin_Seeds,0.882000,1.165
QSAR_biodegradation,0.890995,0.957
Rain_in_Australia,0.868133,130.784
SDSS17,0.977700,81.910
Satellite,0.993137,2.151
Telecom_Churn_Dataset,0.964018,1.027
UJI_Pen_Characters,0.553114,4.725
Water_Quality_and_Potability,0.652439,0.796
Wilt,0.992746,0.733
abalone,0.641148,0.953
ada,0.860241,2.057
ada_agnostic,0.845564,2.264
ada_prior,0.853631,1.196
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.605000,0.556
allbp,0.978808,1.372
allrep,0.982781,1.387
analcatdata_authorship,0.994083,0.969
artificial-characters,0.942270,2.224
autoUniv-au4-2500,0.648000,2.365
autoUniv-au7-1100,0.409091,0.548
bank,0.907995,39.002
banknote_authentication,0.538182,0.547
baseball,0.944030,0.622
car-evaluation,0.985549,0.817
churn,0.964000,1.556
cmc,0.606780,0.577
company_bankruptcy_prediction,0.970674,5.639
compass,0.828477,5.155
contraceptive_method_choice,0.633898,0.553
credit,0.783727,4.398
customer_satisfaction_in_airline,0.965006,143.225
dabetes_130-us_hospitals,0.634592,85.110
default_of_credit_card_clients,0.826167,12.928
delta_ailerons,0.953015,0.997
dis,0.990728,1.381
dna,0.970219,4.809
drug_consumption,0.403183,0.626
dry_bean_dataset,0.929122,3.969
eeg-eye-state,0.994660,4.260
electricity,0.925742,18.726
estimation_of_obesity_levels,0.990544,0.816
eye_movements,0.807130,3.878
eye_movements_bin,0.668857,2.294
first-order-theorem-proving,0.654412,21.339
gas-drift,0.996765,16.819
gina_agnostic,0.940922,33.521
golf_play_dataset_extended,0.940639,0.907
heloc,0.730500,3.408
hill-valley,0.971193,1.515
house_16H,0.890660,3.974
htru,0.981006,4.613
ibm-employee-performance,1.000000,0.781
in_vehicle_coupon_recommendation,0.792273,3.806
internet_firewall,0.925154,35.714
internet_usage,0.551560,13.436
jm1,0.823151,3.443
jungle_chess_2pcs_raw_endgame_complete,0.891901,18.176
kc1,0.879147,0.806
kdd_ipums_la_97-small,0.885356,1.583
kr-vs-k,0.921775,28.846
kropt,0.915895,28.803
led24,0.737500,1.139
led7,0.739062,0.745
letter,0.989500,21.449
